67.6146, 57.1201
57.7084, 67.9116
58.1673, 68.3608
57.8671, 66.7073
56.7871, 65.7345
56.2037, 65.5326
57.5516, 67.9979
57.8609, 68.0651
58.5972, 69.0178
59.1686, 68.2467
57.6579, 67.0748
58.2893, 66.7871
57.8996, 67.1787
57.4764, 66.8567
57.7236, 67.3716
57.7233, 66.2789
57.7038, 66.3643
58.1313, 65.3628
57.3156, 65.4384
58.0981, 64.3935
58.1154, 66.1516
58.0877, 67.5091
57.9221, 67.7929
58.2273, 67.6146
57.9245, 66.8303
58.3396, 67.3212
58.0641, 66.9357
58.3273, 67.0571
58.0248, 66.2722
58.4081, 66.5838
58.5723, 67.2196
58.4732, 66.0221
57.4955, 67.8742
57.8596, 66.5597
57.6652, 66.5347
57.5023, 66.6899
57.4909, 68.0931
57.6506, 67.2357
57.8501, 64.4506
58.8214, 63.7821
58.0075, 66.2707
58.3817, 66.1859
58.3093, 66.2649
57.9621, 66.7528
57.7642, 66.3439
57.8705, 66.6613
57.9408, 66.8435
58.2309, 66.5503
58.6318, 63.7761
58.5822, 66.1857
58.2257, 67.2102
58.6526, 67.2144
58.2215, 67.8253
58.3093, 67.3607
57.9857, 67.9504
58.0013, 67.5137
58.0955, 66.8742
57.3288, 67.4119
58.2831, 66.6065
58.0483, 66.2036
58.5642, 66.7117
58.0512, 67.6125
57.9342, 67.8955
58.0858, 66.6517
58.1374, 64.7266
58.5782, 67.8158
57.5974, 65.4054
57.9971, 66.6278
58.2934, 66.8295
58.0567, 68.4507
58.1347, 67.2796
58.2154, 68.0008
58.4866, 67.4002
57.8743, 66.6059
58.2343, 66.9927
59.2481, 66.5568
58.4853, 67.9299
58.2073, 67.2518
58.1075, 67.0535
58.1733, 65.7477
58.6686, 66.8258
60.7945, 62.3688
59.4689, 65.4652
58.3931, 66.5904
58.5395, 66.9752
